"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"SMALLCAP",146,49.54,42.25,7233.16,6168.5,-1064.66,-14.72,-0.24,""
"TATATECH",15,880.03,617.65,13200.45,9264.75,-3935.7,-29.81,-3.91,""
"TCS",2,3062,2941.6,6124,5883.2,-240.8,-3.93,-1.67,""
"TITAGARH",3,914.75,781.5,2744.25,2344.5,-399.75,-14.57,0.19,""
"TITAN",10,3198.92,4135,31989.15,41350,9360.85,29.26,0.9,""
"TMCV",30,248.96,458.25,7468.77,13747.5,6278.73,84.07,0.52,""
"TMPV",30,550.27,369.9,16508.03,11097,-5411.03,-32.78,-1.14,""
"UPL",8,633.74,741.3,5069.9,5930.4,860.5,16.97,-0.85,""
"VIPIND",14,446.41,385.7,6249.8,5399.8,-850,-13.6,-0.12,""
"WIPRO",41,246.51,230.72,10107,9459.52,-647.48,-6.41,-1.14,""
